"species","cultivar","location","year","flowering_f50","yday","cult_loc","r","split","ncal"
"Almond","Tuono","Meknes",1997,"3/4/1997",63,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1984,"3/18/1984",78,"Tuono-Meknes",1,"Calibration","full"
"Almond","Achaak","Santomera",2007,"2/2/2007",33,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",1998,"1/31/1998",31,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2012,"1/22/2012",22,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2011,"1/31/2011",31,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2017,"1/26/2017",26,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2019,"1/28/2019",28,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2006,"1/30/2006",30,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",1997,"1/28/1997",28,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2013,"1/18/2013",18,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Achaak","Santomera",2018,"1/29/2018",29,"Achaak-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2020,"1/20/2020",20,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",1998,"1/31/1998",31,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2007,"2/5/2007",36,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2016,"1/28/2016",28,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2011,"1/31/2011",31,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2012,"1/30/2012",30,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2013,"1/21/2013",21,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2006,"2/3/2006",34,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2019,"1/31/2019",31,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Desmayo","Santomera",2018,"1/29/2018",29,"Desmayo-Santomera",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",2013,"3/17/2013",76,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",1982,"2/18/1982",49,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",1993,"2/23/1993",54,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",2005,"3/5/2005",64,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",1999,"2/11/1999",42,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",2001,"2/20/2001",51,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",2002,"2/15/2002",46,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",1992,"2/11/1992",42,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",2015,"2/11/2015",42,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Fasciuneddu","Sfax",2006,"2/20/2006",51,"Fasciuneddu-Sfax",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",1978,"2/26/1978",57,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",1992,"2/24/1992",55,"Ferragnes-Meknes",1,"Calibration","scarce"
